Channel_ID,Video_IDs,Song_Name,Published_date,Views,Likes,Comments
UCHmk8iNJHvf5mGN6_pkPc7g,NvV9iYx8_go,EMIWAY X MEMAX X JAXK - RUTHLESS (OFFICIAL MUSIC VIDEO),2022-01-02,2471614,164079,10058
UCHmk8iNJHvf5mGN6_pkPc7g,yrhluPAViqE,EMIWAY X HELLAC - RAJA (OFFICIAL MUSIC VIDEO),2021-12-26,3666482,287327,14317
UCHmk8iNJHvf5mGN6_pkPc7g,PbhtAsXmiOw,EMIWAY - STREET TALK (PROD BY MEMAX) (EXPLICIT),2021-12-19,4762591,349988,20457
UCHmk8iNJHvf5mGN6_pkPc7g,bjGuabYAPYM,EMIWAY - SHUKRIYA (OFFICIAL AUDIO),2021-12-09,1250372,123115,10992
UCHmk8iNJHvf5mGN6_pkPc7g,9PzHPn_MQJw,EMIWAY - THAT'S HOW I FEEL (OFFICIAL MUSIC VIDEO),2021-12-05,4968908,322634,14820
UCHmk8iNJHvf5mGN6_pkPc7g,yudS_7gT0Gg,EMIWAY - HEAL (PROD BY EMIWAY BANTAI) (OFFICIAL MUSIC VIDEO),2021-11-28,3240532,284287,16490
UCHmk8iNJHvf5mGN6_pkPc7g,qhIWwn7qQS4,EMIWAY - KYU JANE DE (PROD BY MEME MACHINE) (OFFICIAL MUSIC VIDEO),2021-10-31,4435322,333588,13160
UCHmk8iNJHvf5mGN6_pkPc7g,sLUYIBbmi9g,EMIWAY - ALWAYS ON TOP (PROD BY MEME MACHINE) (OFFICIAL MUSIC VIDEO),2021-10-24,2546608,231095,12357
UCHmk8iNJHvf5mGN6_pkPc7g,ZF6fOvjfWsA,Emiway - Freeverse Feast 2 (PROD BY MEME MACHINE) (OFFICIAL MUSIC VIDEO),2021-10-17,3415825,314047,22464
UCHmk8iNJHvf5mGN6_pkPc7g,t4UjxSvfPxw,EMIWAY - CHALTE FIRTE FT. SWAALINA (PROD BY MEME MACHINE) (OFFICIAL MUSIC VIDEO),2021-10-10,8772243,558005,19040
UCHmk8iNJHvf5mGN6_pkPc7g,VjRwfHKGn0c,Emiway - Believe [Official Audio] | Malum Hai Na (Album),2021-09-30,1594375,100152,4123
UCHmk8iNJHvf5mGN6_pkPc7g,ZvG4Aa1Kqw4,Emiway - Aisa Kuch Shot Nahi Hai (Remix) [Official Audio] | Malum Hai Na (Album),2021-09-30,981556,65195,2765
UCHmk8iNJHvf5mGN6_pkPc7g,cjRD15Wdq14,Emiway - Bantai Ki Public [Official Audio] | Malum Hai Na (Album),2021-09-30,328465,26692,742
UCHmk8iNJHvf5mGN6_pkPc7g,t05muuJYPwI,Emiway - Jawab De [Official Audio] | Malum Hai Na (Album),2021-09-30,241979,19213,567
UCHmk8iNJHvf5mGN6_pkPc7g,hcUItVvV4IA,Emiway - Gum Ko Vata [Official Audio] | Malum Hai Na (Album),2021-09-30,401215,31264,1428
UCHmk8iNJHvf5mGN6_pkPc7g,Bcr4Evba3hs,Emiway - Kyu Jane De [Official Audio] | Malum Hai Na (Album),2021-09-30,308144,26432,1274
UCHmk8iNJHvf5mGN6_pkPc7g,Axa6xIoJX-k,Emiway - Hai Tu Kaun [Official Audio] | Malum Hai Na (Album),2021-09-30,128595,11128,431
UCHmk8iNJHvf5mGN6_pkPc7g,5AV3QEs6P30,Emiway - Malum Hai Na (Intro) [Official Audio] | Malum Hai Na (Album),2021-09-30,176806,17433,736
UCHmk8iNJHvf5mGN6_pkPc7g,UmTcvzvPfr4,Emiway - Momma [Official Audio] | Malum Hai Na (Album),2021-09-30,141244,12991,551
UCHmk8iNJHvf5mGN6_pkPc7g,2z8EQNz_jmU,Emiway - Chalte Firte [Official Audio] | Malum Hai Na (Album),2021-09-30,778486,53998,2402
UCHmk8iNJHvf5mGN6_pkPc7g,6dd-iaw15SY,Emiway - Freeverse Feast 2 [Official Audio] | Malum Hai Na (Album),2021-09-30,557947,55401,5254
UCHmk8iNJHvf5mGN6_pkPc7g,OdtFiwjusAA,Emiway - My Time [Official Audio] | Malum Hai Na (Album),2021-09-30,165103,16499,731
UCHmk8iNJHvf5mGN6_pkPc7g,xD5e1JZLsl8,Emiway - Machayenge 3 [Official Audio] | Malum Hai Na (Album),2021-09-30,347267,47752,3110
UCHmk8iNJHvf5mGN6_pkPc7g,SD5zlTVTamo,Emiway - Always On Top [Official Audio] | Malum Hai Na (Album),2021-09-30,497308,51043,3587
UCHmk8iNJHvf5mGN6_pkPc7g,kkGJ-BKDPR8,EMIWAY - MOMMA (PROD BY MEME MACHINE) (OFFICIAL MUSIC VIDEO),2021-09-30,3081038,268361,15683
UCHmk8iNJHvf5mGN6_pkPc7g,SbhBJhC7og0,EMIWAY - HAI TU KAUN (PROD. MEME MACHINE) (OFFICIAL MUSIC VIDEO),2021-09-26,9879669,322264,29073
UCHmk8iNJHvf5mGN6_pkPc7g,m2dfrSQ5QIo,EMIWAY - JAWAB DE (OFFICIAL MUSIC VIDEO),2021-07-18,6549649,505590,25390
UCHmk8iNJHvf5mGN6_pkPc7g,uYoPUKFM2VE,EMIWAY BANTAI - PAANI MAI | SWAALINA | YOUNG GALIB | (OFFICIAL MUSIC VIDEO),2021-07-01,11353121,547668,22620
UCHmk8iNJHvf5mGN6_pkPc7g,CE3m2ZwbKRo,EMIWAY - MY TIME (PROD. FLAMBOY) (OFFICIAL MUSIC VIDEO),2021-06-20,8365622,489247,28467
UCHmk8iNJHvf5mGN6_pkPc7g,_mgwouKXFfg,EMIWAY BANTAI - SATH MAI | SWAALINA | MEME MACHINE | (OFFICIAL MUSIC VIDEO),2021-06-06,6920814,352539,20540
UCHmk8iNJHvf5mGN6_pkPc7g,D5OrKW4qyG8,SATH MEI OUT NOW,2021-06-06,769198,80632,3589
UCHmk8iNJHvf5mGN6_pkPc7g,6D6Wdvbko6s,EMIWAY - BANTAI KI PUBLIC (PROD BY MEME MACHINE) (OFFICIAL MUSIC VIDEO),2021-05-30,5880818,430989,26691
UCHmk8iNJHvf5mGN6_pkPc7g,y2BYAWsXaec,EMIWAY - MALUM HAI NA (DEBUT ALBUM TRACK LIST),2021-05-16,1534259,143263,5770
UCHmk8iNJHvf5mGN6_pkPc7g,nJNooQDc0Bs,EMIWAY - MACHAYENGE 3 | SWAALINA | ( OFFICIAL MUSIC VIDEO ),2021-05-14,38160167,1701787,80534
UCHmk8iNJHvf5mGN6_pkPc7g,JvneFBoZHs0,EMIWAY - MACHAYENGE 3 | SWAALINA | OFFICIAL TEASER,2021-05-09,2202870,213737,11665
UCHmk8iNJHvf5mGN6_pkPc7g,ZePfl9q8rMM,EMIWAY BANTAI - MALUM HAI NA (INTRO) (OFFICIAL VIDEO),2021-05-02,8434655,730407,41016
UCHmk8iNJHvf5mGN6_pkPc7g,I6Etemcdkgc,EMIWAY - SHY (PROD. MEME MACHINE) (OFFICIAL MUSIC VIDEO),2021-04-22,17134329,792136,36380
UCHmk8iNJHvf5mGN6_pkPc7g,hbyywJxm20w,EMIWAY BANTAI X CHRIS GAYLE (UNIVERSEBOSS) - JAMAICA TO INDIA (PROD BY TONY JAMES) (OFFICIAL VIDEO),2021-04-11,48005815,2114970,85354
UCHmk8iNJHvf5mGN6_pkPc7g,LKfCLIO7-vs,EMIWAY LAUNCHES BANTAI RECORDS (Link in the discription),2021-03-21,1843891,156060,2965
UCHmk8iNJHvf5mGN6_pkPc7g,O4YEtMj1B50,EMIWAY - GRIND (PROD. FLAMBOY) (OFFICIAL MUSIC VIDEO),2021-03-12,71109866,2254852,46275
UCHmk8iNJHvf5mGN6_pkPc7g,_BOnXBcz8LE,EMIWAY X LOKA - NO LOVE (PROD. AAKASH) (OFFICIAL MUSIC VIDEO),2021-02-28,13101244,720869,39327
UCHmk8iNJHvf5mGN6_pkPc7g,ifsiP3VhQg4,EMIWAY - WHAT CAN I DO (PROD. BY FLAMBOY) (OFFICIAL MUSIC VIDEO),2021-01-30,16109111,986859,57161
UCHmk8iNJHvf5mGN6_pkPc7g,u0FBbQxAcN0,EMIWAY - ROYAL RUMBLE (PROD BY. BKAY) (OFFICIAL MUSIC VIDEO),2020-12-31,12459371,767797,46429
